,SurveyID,N,live,coral,turf,algae,cca,sand,left,add,N_used,coverage,Storage_kg,Accretion_kgyr,GPP_ghr,Calc_ghr,Rugosity,BranchSpace_cm3,BiomassStand_g,OrgGrowth_gyr,pc1,pc2,SiteCode,SiteLatitude,SiteLongitude,Country,SiteName,Location,Depth,SurveyDate
17,1003633,100,89,16,45,2,2,11,24,100,65,73.03370787,6.595040003,1.632474915,0.694456685,0.093393685,1.109955743,0,279.6258815,561.8537505,-0.57222015,0.546383006,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,3.5,08/03/2011
18,1003634,100,76,0,60,4,0,24,12,100,64,84.21052632,0,0,0.892174652,0,1,0,197.0968159,881.1314057,-3.151569926,0.306232601,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,3.8,08/03/2011
19,1003635,100,67,0,52,2,1,33,12,100,55,82.08955224,0.137326869,0.062497947,0.61848264,0.00295117,1,0,169.2536158,586.1807316,-2.804501558,0.88219829,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,5,08/03/2011
20,1003636,101,96,10,59,9,0,5,18,101,78,81.25,3.864782611,1.002587507,1.519081405,0.064399081,1.0966085,1043.39194,290.8249297,1499.232305,-1.055391624,-0.728109607,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,5.5,08/03/2011
21,1003637,100,90,22,54,7,1,10,6,100,84,93.33333333,8.251305222,2.101011598,1.375016531,0.134049827,1.173217,2086.783879,358.8369698,1238.902283,0.086888775,-0.697307851,CAR4,19.3066,-81.38695,Cayman Islands,Grand Cayman anchorage,Central Caribbean,6.2,12/03/2011
22,1003638,100,98,9,49,10,18,2,12,100,86,87.75510204,4.201742729,1.274986916,1.604743726,0.063473283,1,0,275.3262876,1571.854747,-1.363982366,-0.647782959,CAR4,19.3066,-81.38695,Cayman Islands,Grand Cayman anchorage,Central Caribbean,6.5,12/03/2011
23,1003639,100,80,14,58,4,1,20,3,100,77,96.25,4.914342425,1.093506213,0.988995938,0.063467952,1.070685835,0,289.5135706,883.5087457,-1.0220712,0.049581068,CAR4,19.3066,-81.38695,Cayman Islands,Grand Cayman anchorage,Central Caribbean,7,12/03/2011
24,1003640,100,99,38,11,19,15,1,16,100,83,83.83838384,11.13293041,2.896166852,2.537496548,0.16532755,1.269727915,1474.092466,395.6472757,2525.338572,0.348652118,-2.00607362,CAR6,13.45645,-81.36713,Colombia,Providencia1,Seaflower,5.5,16/03/2011
25,1003641,100,89,44,15,12,7,11,11,100,78,87.64044944,12.52045759,3.191080799,1.829787215,0.186379889,1.377891609,1617.659308,433.2037435,1722.622504,0.863436489,-1.468125105,CAR5,13.45828,-81.36453,Colombia,Providencia2,Seaflower,6.2,16/03/2011
26,1003642,100,96,33,20,13,13,4,17,100,79,82.29166667,11.0298997,2.843975033,1.91677277,0.17740369,1.192170632,3201.95924,344.9135021,1782.899413,0.407676533,-1.231999565,CAR5,13.45828,-81.36453,Colombia,Providencia2,Seaflower,6.8,16/03/2011
27,1003643,100,100,58,10,16,5,0,11,100,89,89,13.48910648,2.190709347,2.297650381,0.144458336,1.129124077,2158.5673,352.0545354,2070.400814,0.25358299,-1.487891938,CAR6,13.45645,-81.36713,Colombia,Providencia1,Seaflower,6.8,16/03/2011
28,1003644,100,98,43,17,18,8,2,12,100,86,87.75510204,9.160831978,1.417135655,2.448085544,0.082829576,1.087632717,215.3502632,319.2341602,2376.994303,-0.672633244,-1.572215069,CAR5,13.45828,-81.36453,Colombia,Providencia2,Seaflower,9.3,16/03/2011
29,1003645,100,85,46,15,6,2,15,16,100,69,81.17647059,11.3776368,1.942180023,1.136592973,0.123188202,1.128909375,1115.175361,294.9325274,875.0014805,0.078202641,-0.0616445,CAR6,13.45645,-81.36713,Colombia,Providencia1,Seaflower,9.4,16/03/2011
30,1003646,100,96,13,26,26,10,4,21,100,75,78.125,4.832483083,1.488208691,3.203759775,0.099523656,1.094891885,3130.175819,272.1725641,3374.340601,-0.982853561,-2.244389041,CAR8,13.32793,-81.41154,Colombia,Tete's Place,Seaflower,5.5,17/03/2011
31,1003647,100,98,11,45,21,7,2,14,100,84,85.71428571,3.429099631,1.128379879,2.79107112,0.086983312,1.095106587,4173.567759,284.175823,2882.733445,-1.067793118,-1.976522611,CAR8,13.32793,-81.41154,Colombia,Tete's Place,Seaflower,6,17/03/2011
32,1003648,100,92,32,24,8,9,8,19,100,73,79.34782609,8.206904872,2.523819403,1.44081195,0.178200672,1.341487259,6691.052164,343.8350013,1263.934156,0.60797803,-0.870237544,CAR7,13.36448,-81.40478,Colombia,Bajo Felipe,Seaflower,7.5,17/03/2011
33,1003649,99,90,5,58,7,8,9,12,99,78,86.66666667,2.23500519,0.836087857,1.293622933,0.04932177,1.04822354,1115.175361,263.482461,1266.036636,-1.430787889,-0.387028111,CAR8,13.32793,-81.41154,Colombia,Tete's Place,Seaflower,8.2,17/03/2011
34,1003650,100,97,51,7,4,6,3,29,100,68,70.10309278,12.40132295,2.554419207,0.972770475,0.181220341,1.227046929,5360.526541,302.1546959,607.982244,0.801736624,0.114847417,CAR7,13.36448,-81.40478,Colombia,Bajo Felipe,Seaflower,9.5,17/03/2011
35,1003651,100,96,3,13,38,18,4,24,100,72,75,3.048503336,1.174971008,4.323906602,0.0565718,1,0,239.4463315,4751.812248,-2.104811579,-2.874128124,CAR10,13.37479,-81.34405,Colombia,Coral Nursery,Seaflower,1,18/03/2011
36,1003652,100,83,5,15,60,0,17,3,100,80,96.38554217,0.530812777,0.19811613,6.702926542,0.031201098,1.047767996,3130.175819,260.5840753,7427.760716,-2.666981342,-4.544156239,CAR10,13.37479,-81.34405,Colombia,Coral Nursery,Seaflower,2.5,18/03/2011
37,1003653,100,89,3,19,54,10,11,3,100,86,96.62921348,1.893454282,0.839118692,6.089209334,0.047988802,1.050369558,1115.175361,297.6972769,6748.524443,-2.153469766,-4.24130088,CAR10,13.37479,-81.34405,Colombia,Coral Nursery,Seaflower,3,18/03/2011
38,1003654,100,67,1,34,23,5,33,4,100,63,94.02985075,1.110632425,0.417785479,2.78518165,0.020840911,1.007853982,0,207.406818,3038.971984,-2.577988529,-1.693171268,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,4.5,18/03/2011
39,1003655,100,88,1,35,28,6,12,18,100,70,79.54545455,1.247959294,0.480283426,3.339756993,0.023792081,1.007853982,0,230.756699,3657.328257,-2.538367297,-2.20644191,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,4.6,18/03/2011
40,1003656,100,77,2,40,14,12,23,9,100,68,88.31168831,2.264127073,0.871940429,1.892644916,0.042649347,1.007853982,0,222.4929145,1990.892974,-1.960778444,-0.876224413,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,5,18/03/2011
41,1003657,100,67,6,26,30,5,33,0,100,67,100,2.767039799,0.76701134,3.521986869,0.041396587,1.031415927,0,239.4312097,3845.693025,-2.111458544,-2.34168679,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,5.5,18/03/2011
42,1003659,99,97,39,30,14,4,2,10,99,87,89.69072165,10.71399351,2.291874803,2.096206887,0.145934802,1.184986897,2230.350721,374.450547,1969.791965,0.226175462,-1.474228589,CAR12,13.37159,-81.40394,Colombia,Sena,Seaflower,8.5,19/03/2011
43,1003660,100,97,25,48,6,10,3,8,100,89,91.75257732,5.922157936,1.408231465,1.296528702,0.096803886,1.116661782,3273.742661,310.1411731,1104.943056,-0.37384531,-0.447589224,CAR12,13.37159,-81.40394,Colombia,Sena,Seaflower,9,19/03/2011
44,1003661,100,88,5,12,31,13,12,27,100,61,69.31818182,2.920227283,1.147569407,3.559199198,0.057202592,1.068893787,143.5668421,231.8437139,3914.35761,-1.879262117,-2.389820909,CAR11,13.37903,-81.42346,Colombia,Tanques Place,Seaflower,35,19/03/2011
45,1003662,100,89,18,29,25,7,11,10,100,79,88.76404494,7.897878993,2.066929712,3.1052022,0.115384842,1.117809725,0,337.4431473,3273.686128,-0.740422682,-2.256322138,CAR14,13.40015,-81.37399,Colombia,Two Islands,Seaflower,2,20/03/2011
46,1003664,100,95,9,69,1,7,5,9,100,86,90.52631579,4.31368778,1.20789446,0.736092639,0.065554109,1.054977871,0,305.8370804,594.9994005,-0.962108424,0.407460501,CAR13,13.3895,-81.38481,Colombia,Starboard Harbour Buoy,Seaflower,6.5,20/03/2011
47,1003666,100,94,24,40,11,5,6,14,100,80,85.10638298,6.719467234,1.533309738,1.714875624,0.086665069,1.142610588,215.3502632,328.3607053,1670.652578,-0.626455403,-0.992509297,CAR15,13.3987,-81.39579,Colombia,Outer Channel Marker   Providencia,Seaflower,7,20/03/2011
48,1003667,100,87,9,63,1,11,13,3,100,84,96.55172414,4.256005541,1.318889916,0.720601639,0.075972449,1.055192573,1043.39194,288.7826953,561.3361996,-0.751786506,0.455388959,CAR13,13.3895,-81.38481,Colombia,Starboard Harbour Buoy,Seaflower,7.1,20/03/2011
49,1003668,100,98,23,37,7,1,2,30,100,68,69.3877551,6.41241,1.154903651,1.219830337,0.068885361,1.062831853,0,260.6420161,1113.702784,-0.990061317,-0.133728223,CAR15,13.3987,-81.39579,Colombia,Outer Channel Marker   Providencia,Seaflower,8,20/03/2011
50,1003669,100,98,41,24,2,11,2,20,100,78,79.59183673,12.29007399,2.850317308,0.785032797,0.166953272,1.213511125,1258.742203,362.4023989,490.9299544,0.713771475,0.248835558,CAR15,13.3987,-81.39579,Colombia,Outer Channel Marker   Providencia,Seaflower,8.2,20/03/2011
51,1003670,100,92,32,5,12,23,8,20,100,72,78.26086957,12.50241804,4.119915454,1.768694164,0.2469638,1.380327763,4604.268285,397.7246476,1655.883752,1.170014628,-1.352023568,CAR17,12.58681,-81.71718,Colombia,Montanita,Seaflower,10,21/03/2011
52,1003671,100,97,23,35,3,7,3,29,100,68,70.10309278,7.352470017,1.944763913,0.816054741,0.107829863,1.192765445,287.1336842,314.6528611,681.7593901,-0.185219208,0.181205958,CAR17,12.58681,-81.71718,Colombia,Montanita,Seaflower,10.5,21/03/2011
53,1003672,100,93,40,17,8,8,7,20,100,73,78.49462366,10.23587911,2.276510495,1.358805918,0.128616939,1.238097286,430.7005263,350.960321,1208.017823,0.146481991,-0.634512975,CAR16,12.51884,-81.73215,Colombia,Wild Life,Seaflower,11.5,21/03/2011
54,1003673,100,84,39,15,1,5,16,24,100,60,71.42857143,11.54387042,2.618235648,0.558332107,0.149940358,1.239889334,287.1336842,325.9633302,314.8409397,0.512510052,0.719354512,CAR16,12.51884,-81.73215,Colombia,Wild Life,Seaflower,12,21/03/2011
55,1003676,100,84,40,19,2,3,16,20,100,64,76.19047619,10.91086764,2.206781473,0.68997216,0.128775564,1.189734478,215.3502632,312.9552889,442.8165979,0.223420774,0.536307206,CAR16,12.51884,-81.73215,Colombia,Wild Life,Seaflower,13,21/03/2011
56,1003677,100,100,35,9,6,32,0,18,100,82,82,11.73372825,4.207618803,1.20887814,0.231787807,1.471800961,3019.968353,456.8818595,1052.008053,1.360952391,-0.889801079,CAR17,12.58681,-81.71718,Colombia,Montanita,Seaflower,13.4,21/03/2011
57,1003678,100,69,7,16,36,10,31,0,100,69,100,4.341255256,1.362049667,4.127632339,0.072107125,1.054977871,0,265.3497603,4523.80765,-1.699255368,-2.837374654,CAR18,12.58415,-81.68365,Colombia,Little Reef,Seaflower,5.5,22/03/2011
58,1003679,100,65,4,11,27,20,35,3,100,62,95.38461538,4.06591925,1.619763819,3.137183149,0.080037089,1.050154857,71.78342105,231.5648888,3416.995522,-1.577122709,-2.019603614,CAR18,12.58415,-81.68365,Colombia,Little Reef,Seaflower,5.6,22/03/2011
59,1003680,100,73,6,23,27,11,27,6,100,67,91.78082192,2.92475269,1.16511758,3.212607845,0.058993574,1.10334068,215.3502632,263.2351026,3510.685798,-1.673715205,-2.253560864,CAR18,12.58415,-81.68365,Colombia,Little Reef,Seaflower,8,22/03/2011
60,1003683,100,81,4,28,46,0,19,3,100,78,96.2962963,0.976439473,0.224436542,5.231813337,0.015828628,1.015430339,768.7695996,255.8839228,5800.480709,-2.718925968,-3.617690712,CAR20,12.58338,-81.68528,Colombia,Little Reef 3,Seaflower,3.5,24/03/2011
61,1003684,100,70,10,15,43,1,30,1,100,69,98.57142857,4.422110897,2.98981885,4.890355111,0.083931282,1.070685835,0,278.5681914,5365.566839,-1.573976878,-3.372497138,CAR19,12.58619,-81.6887,Colombia,Little Reef 2,Seaflower,3.8,24/03/2011
62,1003685,100,85,12,37,33,3,15,0,100,85,100,1.944072338,6.378420887,4.121246392,0.146530364,1.087126762,7797.890837,248.6193371,4299.901488,-0.93330168,-2.887972634,CAR19,12.58619,-81.6887,Colombia,Little Reef 2,Seaflower,3.9,24/03/2011
63,1003686,100,62,5,9,40,2,38,6,100,56,90.32258065,2.199596411,2.460255947,4.482431909,0.053619943,1.026087397,256.2565332,203.3697955,4953.79113,-2.137162351,-2.911734814,CAR20,12.58338,-81.68528,Colombia,Little Reef 3,Seaflower,3.9,24/03/2011
64,1003687,100,98,52,8,0,9,2,29,100,69,70.40816327,4.830461,3.252507428,0.881730379,0.309663732,2.007052742,23705.81626,435.248633,472.1469192,2.151394369,-0.726039341,CAR23,9.55787,-78.95204,Panama,Porvenir3,San Blas,2,27/03/2011
65,1003688,101,89,42,9,0,17,12,21,101,68,76.40449438,10.55969647,34.62504002,0.893306441,0.541552759,1.009345744,12337.04521,120.276349,169.1143572,1.828389247,1.411805258,CAR22,9.55877,-78.95136,Panama,Porvenir2,San Blas,2.8,27/03/2011
66,1003689,100,80,46,16,0,0,20,18,100,62,77.5,3.674093582,2.408824448,0.744608403,0.208003466,1.92478856,14458.85564,447.9594856,523.6854787,1.485427558,-0.62045837,CAR21,9.55746,-78.95041,Panama,Porvenir1,San Blas,3.5,27/03/2011
67,1003690,102,93,38,28,0,10,9,17,102,76,81.72043011,8.683544586,20.89294336,0.779704371,0.360610938,1.050824593,10524.88367,167.1850619,253.7123905,1.252276502,1.13604545,CAR22,9.55877,-78.95136,Panama,Porvenir2,San Blas,3.5,27/03/2011
68,1003691,100,77,32,28,0,3,23,14,100,63,81.81818182,3.637491859,1.917999448,0.573346806,0.100672361,1.688384736,1794.585526,454.1138988,555.8669566,0.453309438,-0.269256485,CAR21,9.55746,-78.95041,Panama,Porvenir1,San Blas,6,27/03/2011
69,1003692,100,79,21,26,3,3,21,26,100,53,67.08860759,1.792204799,1.377191594,0.835969014,0.111358879,1.475690736,7265.319533,297.260955,757.0245921,-0.17863717,-0.216721411,CAR25,9.58341,-78.87863,Panama,Chichime SE,San Blas,2,28/03/2011
70,1003693,100,86,22,25,16,3,14,20,100,66,76.74418605,3.166440064,1.380839379,2.187970769,0.086837343,1.401115127,3019.968353,349.4859782,2318.89774,-0.537078012,-1.863694184,CAR25,9.58341,-78.87863,Panama,Chichime SE,San Blas,2.5,28/03/2011
71,1003694,100,100,19,13,20,35,0,13,100,87,87,11.34671389,7.65450021,2.66349655,0.264137123,1.14706668,3642.688885,351.1089058,2613.631966,0.699851342,-1.910121666,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,6.4,28/03/2011
72,1003695,100,100,28,10,20,20,0,22,100,78,78,11.72411725,3.46298516,2.58624416,0.200240059,1.226402823,2230.350721,371.6732666,2596.964304,0.456036873,-1.969068374,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,6.5,28/03/2011
73,1003696,101,101,41,0,8,30,0,22,101,79,78.21782178,9.846350497,3.130211789,1.48922931,0.249194485,1.270180471,13707.66206,264.7848645,1084.448034,0.917661329,-0.549508452,CAR26,9.5847,-78.86837,Panama,Chichime NE,San Blas,6.5,28/03/2011
74,1003697,100,93,20,19,22,4,7,28,100,65,69.89247312,4.846361643,6.79851853,2.759150423,0.142824717,1.037604164,4612.617597,191.1538538,2837.4356,-0.705510932,-1.550669467,CAR26,9.5847,-78.86837,Panama,Chichime NE,San Blas,8,28/03/2011
75,1003698,100,97,20,46,25,0,3,6,100,91,93.81443299,8.240110669,2.040332693,3.21989065,0.11886401,1.151751104,256.2565332,392.2979916,3379.295928,-0.463028694,-2.52428485,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,9.5,28/03/2011
76,1003699,100,86,24,35,7,5,14,15,100,71,82.55813953,6.057455668,1.559452855,1.283376584,0.107180118,1.182524602,3345.526082,289.2080208,1153.506002,-0.286804706,-0.449304469,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,11.5,28/03/2011
77,1003777,100,95,0,20,45,13,5,17,100,78,82.10526316,1.785249295,0.812473317,5.092801546,0.038365209,1,0,257.3767531,5643.418427,-2.477268258,-3.461783981,USEC5,24.626395,-81.11185,United States,Sombrero Light E FL,Florida Keys,7,13/10/2010
78,1003778,100,94,9,31,22,10,6,22,100,72,76.59574468,4.075097059,3.003872517,2.76305776,0.079732682,1.023561945,0,251.9357331,2914.301367,-1.445702226,-1.715653414,USEC6,24.625624,-81.109328,United States,Sombrero Light FL,Florida Keys,5.5,14/10/2010
79,1003780,100,84,3,8,59,1,16,13,100,71,84.52380952,1.222332815,2.164122234,6.517328731,0.036401043,1.007853982,0,245.1229327,7261.788518,-2.665715275,-4.257032492,USEC8,24.69262,-81.060967,United States,Vaca Key Bight FL,Florida Keys,2.5,16/10/2010
80,1003781,100,81,15,40,5,4,19,17,100,64,79.01234568,5.652939252,6.92075983,1.061161884,0.133860221,1.04712389,0,242.6868653,903.6611549,-0.526414799,0.180995864,USEC9,24.70784,-81.04805,United States,Vaca Key Bight S FL,Florida Keys,6.8,16/10/2010
81,1003782,100,94,2,22,23,6,6,41,100,53,56.38297872,1.671957375,0.585579168,2.705838388,0.029877141,1.015707963,0,182.7704484,2963.316353,-2.431080027,-1.5290695,USEC10,24.68577,-80.96287,United States,Coffins Patch E FL,Florida Keys,4,17/10/2010
82,1003783,100,99,1,22,35,2,1,39,100,60,60.60606061,0.743455037,2.104655122,4.009249394,0.032116905,1,0,198.1644261,4424.070873,-2.645271434,-2.583010586,USEC11,24.68553,-80.9645,United States,Coffins Patch W FL,Florida Keys,4,17/10/2010
83,1003784,100,98,11,42,6,9,2,30,100,68,69.3877551,5.294152601,5.203582386,1.150191268,0.118950765,1.04712389,0,253.1863489,1040.581636,-0.684585004,-0.010093229,USEC13,24.54569,-81.40591,United States,Looe Reef West FL,Florida Keys,5,18/10/2010
84,1003785,100,94,10,56,4,2,6,22,100,72,76.59574468,4.32764625,2.963690374,0.975555606,0.081947638,1.062831853,0,270.3141256,874.46159,-0.924417008,0.129149551,USEC14,24.546777,-81.405235,United States,Looe Reef Marker Post FL,Florida Keys,5,18/10/2010
85,1003786,100,98,7,23,23,7,2,38,100,60,61.2244898,2.804901657,4.645290127,2.836351086,0.100739944,1.039699312,2086.783879,202.316427,2984.601848,-1.291919335,-1.69564776,USEC15,24.68217,-80.97067,United States,Pillar Patch FL,Florida Keys,4.5,19/10/2010
86,1003787,100,92,3,23,12,15,8,39,100,53,57.60869565,3.914339113,25.62008175,1.916401199,0.324206286,0.921460184,0,150.1607797,1690.447073,-0.373337344,-0.332431403,USEC16,24.68975,-81.02973,United States,Vaca Key Bight East FL,Florida Keys,4,19/10/2010
87,1003793,100,84,0,25,25,3,16,31,100,53,63.0952381,0.411980607,0.187493842,2.916778276,0.00885351,1,0,171.1565538,3219.66665,-3.068972926,-1.704752297,USEC17,24.63217,-81.09053,United States,Delta Shoal Marathon FL,Florida Keys,4,21/12/2010
88,2000859,100,100,0,14,2,43,0,41,100,59,59,5.905055361,2.687411741,0.513431323,0.126900308,1,0,195.4895797,402.184458,-0.750394372,1.207854944,CG10,-31.68152,152.91196,Australia,Steves Bommie (668),Cod Grounds,30,17/05/2009
89,2000860,100,99,0,27,1,40,1,31,100,68,68.68686869,5.493074755,2.499917898,0.490968374,0.118046798,1,0,221.7068,360.6321786,-0.739963676,1.172739119,CG10,-31.68152,152.91196,Australia,Steves Bommie (668),Cod Grounds,31,17/05/2009
90,2000861,99,73,0,17,3,27,26,26,99,47,64.38356164,3.707825459,1.687444581,0.57432723,0.079681589,0.99,0,153.7612692,519.1771026,-1.402287055,1.171058272,CG10,-31.68152,152.91196,Australia,Steves Bommie (668),Cod Grounds,36.5,17/05/2009
91,2000883,100,95,0,21,0,63,5,11,100,84,88.42105263,8.651592739,3.93737069,0.438016632,0.185923707,1,0,278.0066025,234.8024124,0.013545008,1.235698051,CG11,-31.68406,152.90851,Australia,SE lumps (66A),Cod Grounds,29,17/05/2009
92,2000884,100,80,0,14,4,42,20,20,100,60,75,5.767728493,2.624913793,0.726036811,0.123949138,1,0,198.8555842,644.7457143,-0.850501266,0.789920609,CG11,-31.68406,152.90851,Australia,SE lumps (66A),Cod Grounds,33,17/05/2009
93,2000892,100,99,7,43,36,1,1,12,100,87,87.87878788,1.048316021,0.290928152,4.303589402,0.01582768,1.079778735,215.3502632,308.4262207,4721.716202,-2.436589406,-3.204641902,SI11,-30.20774,153.26654,Australia,Cable Trail,Solitary Islands,11,21/08/2009
94,2000937,100,98,0,79,4,2,2,13,100,85,86.73469388,0.274653738,0.124995895,1.046069892,0.00590234,1,0,262.0159955,1008.644533,-2.522357333,-0.065053919,SI13,-29.933083,153.392562,Australia,South End Nth Solitary,Solitary Islands,9,22/08/2009
95,2000938,99,98,15,51,0,15,1,17,99,81,82.65306122,5.725348642,1.579263003,0.572330804,0.08286877,1.048008838,71.78342105,288.3564886,380.1261566,-0.640017276,0.814595341,SI13,-29.933083,153.392562,Australia,South End Nth Solitary,Solitary Islands,15,22/08/2009
96,2000947,100,100,13,11,8,7,0,61,100,39,39,3.344280722,0.980432919,1.097060332,0.051914069,1.12207961,287.1336842,176.5471326,1122.101057,-1.464293804,0.1193622,SI14,-29.91274,153.38342,Australia,Fish Soup,Solitary Islands,7,22/08/2009
97,2000948,100,71,6,11,0,17,29,37,100,34,47.88732394,3.057576114,1.277250555,0.244277415,0.082521234,1.047767996,3130.175819,106.6503009,104.9488811,-1.080829612,2.1181609,SI14,-29.91274,153.38342,Australia,Fish Soup,Solitary Islands,8,22/08/2009
98,2000949,100,84,12,12,0,28,16,32,100,52,61.9047619,5.520158025,2.266123475,0.367542092,0.138520207,1.124730466,4317.134601,189.7070345,161.3860017,-0.141884761,1.489150507,SI14,-29.91274,153.38342,Australia,Fish Soup,Solitary Islands,10.1,22/08/2009
99,2000962,100,99,8,21,0,53,1,17,100,82,82.82828283,7.663074098,3.747765118,0.525257686,0.205980175,1.170062307,4460.701443,301.9064782,285.0750274,0.616418199,0.790893292,SI15,-30.20102,153.25802,Australia,Black Rock,Solitary Islands,11,23/08/2009
100,2001109,100,99,0,5,0,78,1,16,100,83,83.83838384,10.71149577,4.874839902,0.381954182,0.230191257,1,0,279.9460124,153.1855272,0.368347577,1.432742638,CG2,-31.68128,152.91078,Australia,Cod Gardens (CODGAR),Cod Grounds,28,14/05/2009
101,2001110,99,87,0,15,6,49,12,17,99,70,80.45977011,6.729016575,3.062399425,0.9815371,0.144607328,0.99,0,232.4245987,906.208688,-0.666055249,0.312081041,CG2,-31.68128,152.91078,Australia,Cod Gardens (CODGAR),Cod Grounds,36,14/05/2009
