SurveyID,SiteCode,SiteLatitude,SiteLongitude,Country,SiteName,Location,Depth,SurveyDate,algae,cca,coral,not_used,sand,turf,total,flat,Storage_kg,Accretion_kgyr,GPP_ghr,Calc_ghr,BranchSpace_cm3,OrgGrowth_gyr,BiomassStand_g,Rugosity
1003630,CAR2,24.609,-82.87406,United States,Garden Key SE,Florida Keys,4,7/03/2011,14,6,3,15,7,55,100,97,3.4471623713107333,0.5922513177401395,5.374626722584465,0.045537117134187184,0,4355.607374712461,1240.709790975107,1.6800000000000002
1003631,CAR1,24.62056,-82.86406,United States,Long Key SE,Florida Keys,5,7/03/2011,25,5,4,12,27,27,100,96,3.3259326440399497,0.47881490697034196,7.643495289162023,0.037798116822329635,0,8198.792243779562,1417.0150796364437,1.629268292682927
1003632,CAR1,24.62056,-82.86406,United States,Long Key SE,Florida Keys,6,7/03/2011,38,7,1,22,16,16,100,99,2.7548425567383754,0.4695639018679477,11.497361121869064,0.037584544880580315,0,12402.10401096376,1965.5191684233716,1.6341463414634145
1003633,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,3.5,8/03/2011,2,4,16,22,11,45,100,84,24.815747488470357,2.3916112694400926,0.901132278436405,0.13985259564118424,0,813.9554796732991,602.1224208052892,1.7863636363636364
1003634,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,3.8,8/03/2011,4,1,0,11,24,60,100,100,0,0,1.543540539129741,0,0,1446.432766044503,603.0877657920381,1.5609756097560976
1003635,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,5,8/03/2011,2,1,0,12,33,52,100,100,0.15539888060981916,0.05659428502670776,0.5156513766358002,0.002170202992274177,0,1128.8436965683045,417.1587669160554,1.5444444444444445
1003636,CAR3,24.62429,-82.94296,United States,Windjammer wreck,Florida Keys,5.5,8/03/2011,8.571428571,0,9.523809523,18.095238096,4.761904762,59.04761905,100.00000000200001,90.47619047900001,16.768238882991803,1.6935021699127817,2.813083929501479,0.10370334435413554,249.17778017622783,3069.438304564636,904.4651306433846,1.6576923076923076
1003637,CAR4,19.3066,-81.38695,Cayman Islands,Grand Cayman anchorage,Central Caribbean,6.2,12/03/2011,7,2,22,5,10,54,100,78,74.76678714641281,4.688343856484772,2.8800405185907696,0.28561517700345046,498.35556035245565,2784.606344463761,1155.522231469749,1.9660377358490568
1003638,CAR4,19.3066,-81.38695,Cayman Islands,Grand Cayman anchorage,Central Caribbean,6.5,12/03/2011,11,25,9,5,2,48,100,91,13.106752039712337,1.228924486756314,2.7587815095997916,0.14228195519022535,0,5089.4245424633,884.2741282927954,1.8581818181818182
1003639,CAR4,19.3066,-81.38695,Cayman Islands,Grand Cayman anchorage,Central Caribbean,7,12/03/2011,5,1,14,3,20,57,100,86,66.35132502080846,3.12912333515839,1.2984707816357828,0.18834228657211616,0,2806.471771572726,822.7183961632978,1.7918367346938777
1003640,CAR6,13.45645,-81.36713,Colombia,Providencia1,Seaflower,5.5,16/03/2011,20,17,38,14,1,10,100,62,43.53857649136705,3.9402189080988292,7.007560315535783,0.31676129793074326,823.4451486137073,7405.790583664094,1557.485262326403,2.283018867924528
1003641,CAR5,13.45828,-81.36453,Colombia,Providencia2,Seaflower,6.2,16/03/2011,12,7,44,11,11,15,100,56,60.72268608240962,4.809131445382137,3.9538564630860735,0.33809270822938914,1110.578832832447,4830.263514108469,1231.7006228628427,2.25
1003642,CAR5,13.45828,-81.36453,Colombia,Providencia2,Seaflower,6.8,16/03/2011,13,14,33,16,4,20,100,67,39.30787297179683,4.207933218020688,5.214936683106378,0.36601004487019523,1317.6723219358241,4943.429723169473,1248.1347407466799,2.23921568627451
1003643,CAR6,13.45645,-81.36713,Colombia,Providencia1,Seaflower,6.8,16/03/2011,16,6,58,10,0,10,100,42,31.580781586708973,2.603504055028842,6.310860823198545,0.2319462251979209,570.1389814071406,5349.605587731926,1344.0749886386332,2.312280701754386
1003644,CAR5,13.45828,-81.36453,Colombia,Providencia2,Seaflower,9.3,16/03/2011,18,9,43,11,2,17,100,57,22.718786119449135,1.2510914310155334,5.878310171582,0.17363367726517454,215.3502631640548,6733.29164941378,1251.734877318307,2.0344827586206895
1003645,CAR6,13.45645,-81.36713,Colombia,Providencia1,Seaflower,9.4,16/03/2011,6,4,46,14,15,15,100,54,40.09322410334911,2.867552111192383,3.3673904609546095,0.2329309894388653,320.96120123091276,2089.5350693191913,955.8430236101901,2.3136363636363635
1003646,CAR8,13.32793,-81.41154,Colombia,Tete's Place,Seaflower,5.5,17/03/2011,26,11,13,20,4,26,100,87,15.328506595150088,2.180952067649757,7.651008509114202,0.22650664792228015,1245.888900881139,10397.647443841424,1397.8402552918333,1.8470588235294116
1003647,CAR8,13.32793,-81.41154,Colombia,Tete's Place,Seaflower,6,17/03/2011,21,7,11,14,2,45,100,89,19.11089774012508,2.122743690136409,5.724620658659269,0.3731444869098732,3986.8444828196452,9022.409400147815,1174.7126706376673,1.8071428571428574
1003648,CAR7,13.36448,-81.40478,Colombia,Bajo Felipe,Seaflower,7.5,17/03/2011,10,10,32,18,8,22,100,68,55.485412124317854,4.632154530686471,3.43264094076118,0.73613717617564,7340.023337238143,4879.234836103239,1067.939176147402,2.353191489361702
1003649,CAR8,13.32793,-81.41154,Colombia,Tete's Place,Seaflower,8.2,17/03/2011,7,9,5,11,9,58,99,94,5.365408113399728,0.9460263889934131,3.4487693180583134,0.09472436136075012,320.96120123091276,2454.3213153702222,932.6380874954975,1.7959183673469385
1003650,CAR7,13.36448,-81.40478,Colombia,Bajo Felipe,Seaflower,9.5,17/03/2011,4,9,51,26,3,7,100,49,46.03963012910137,4.191837232014063,2.7839866141865266,0.5261752694027076,4379.589105105243,1427.2986952750111,817.0366386431514,2.497777777777778
1003651,CAR10,13.37479,-81.34405,Colombia,Coral Nursery,Seaflower,1,18/03/2011,49,28,3,14,4,2,100,97,8.109381335738883,1.1422377777529575,13.411411478036936,0.1167522048926514,0,18989.17229645532,2065.15050506404,1.7625
1003652,CAR10,13.37479,-81.34405,Colombia,Coral Nursery,Seaflower,2.5,18/03/2011,60,1,5,2,17,15,100,95,1.0975861118929358,0.7070186004269997,20.61069540325268,0.05560236516253585,747.5333405286835,21805.372663373866,2999.2349065531384,1.5854545454545454
1003653,CAR10,13.37479,-81.34405,Colombia,Coral Nursery,Seaflower,3,18/03/2011,54,10,3,3,11,19,100,97,3.195353394173008,0.985449723752599,19.191899697467953,0.06428218290285394,320.96120123091276,19195.825777460905,2875.431714830294,1.6237288135593222
1003654,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,4.5,18/03/2011,23,7,1,2,33,34,100,99,1.5116515118598226,0.4023545159376167,10.543416150120494,0.022172514217632704,0,7555.069727806243,1709.1056535046296,1.629268292682927
1003655,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,4.6,18/03/2011,28,6,1,18,12,35,100,99,1.6670503924696418,0.46578527197747327,11.264597195416082,0.02460487318276403,0,10050.783800862511,1824.0389327774149,1.5829787234042554
1003656,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,5,18/03/2011,19,16,2,5,23,35,100,98,3.1024480028856356,0.8545361982669073,6.631537483319423,0.04503648340313672,0,7277.222402874421,1199.1603401725847,1.6297872340425532
1003657,CAR9,13.3803,-81.33894,Colombia,The Pinacles,Seaflower,5.5,18/03/2011,31,5,6,0,33,25,100,94,3.1676426857079694,0.7039419228067325,12.790474310036302,0.03955599560141722,0,10476.149572940396,1995.0568001441823,1.617391304347826
1003659,CAR12,13.37159,-81.40394,Colombia,Sena,Seaflower,8.5,19/03/2011,14,5,39,9,2,30,99,60,60.62057219226192,4.214718566096994,4.02180334182932,0.3035082449589309,641.9224024618255,6170.781377596903,1198.323606469071,2.0551724137931036
1003660,CAR12,13.37159,-81.40394,Colombia,Sena,Seaflower,9,19/03/2011,6,11,25,7,3,48,100,75,16.3166932778625,1.9801284659101224,2.4908786088551835,0.17404359604574227,1034.6670247474233,2615.095200683042,860.2744782739647,1.9559322033898305
1003661,CAR11,13.37903,-81.42346,Colombia,Tanques Place,Seaflower,35,19/03/2011,31,18,5,22,12,12,100,95,7.5060546254931255,1.0706461334718382,9.181327210355644,0.11565840645483495,143.56684210936987,11801.538115405438,1516.8092197398166,1.7804878048780488
1003662,CAR14,13.40015,-81.37399,Colombia,Two Islands,Seaflower,2,20/03/2011,30,8,18,9,11,24,100,82,45.71211994928238,3.3580091848133975,10.08773724937054,0.2101858186691414,0,11348.231056895795,1882.3192524191002,1.8653846153846154
1003664,CAR13,13.3895,-81.38481,Colombia,Starboard Harbour Buoy,Seaflower,6.5,20/03/2011,1,7,9,9,5,69,100,91,55.686755570486746,2.795980894335669,0.7169272450021631,0.15985815400792372,0,876.4370593643766,729.8167285783783,1.6440677966101696
1003666,CAR15,13.3987,-81.39579,Colombia,Outer Channel Marker   Providencia,Seaflower,7,20/03/2011,11,5,24,14,6,40,100,76,14.897224367524935,1.5211370489096199,3.2509362767865935,0.12120493200041774,215.3502631640548,4722.398942454513,910.6397324220524,1.7892857142857141
1003667,CAR13,13.3895,-81.38481,Colombia,Starboard Harbour Buoy,Seaflower,7.1,20/03/2011,1,11,9,3,13,63,100,91,9.271817210645215,1.5780216280705082,0.6574525234489248,0.10401204151330047,249.17778017622783,854.9218642841536,564.6646995121682,1.64
1003668,CAR15,13.3987,-81.39579,Colombia,Outer Channel Marker   Providencia,Seaflower,8,20/03/2011,9,2,23,29,2,35,100,77,21.067218227507198,1.6769699970551184,2.561555085817861,0.10908576040975797,0,3998.365007874512,745.0387418856957,1.75
1003669,CAR15,13.3987,-81.39579,Colombia,Outer Channel Marker   Providencia,Seaflower,8.2,20/03/2011,2,13,41,18,2,24,100,59,39.72574907483861,3.8631814662255937,1.0676052385117378,0.3082644119953663,895.2285696683921,1199.8726283833496,775.388972816745,2.1660377358490566
1003670,CAR17,12.58681,-81.71718,Colombia,Montanita,Seaflower,10,21/03/2011,12,24,32,19,8,5,100,68,52.493514944183275,5.978709708643158,4.9638618122882905,0.6475854373875293,4561.111851257125,4790.7788766252,1276.612144445077,2.5434782608695654
1003671,CAR17,12.58681,-81.71718,Colombia,Montanita,Seaflower,10.5,21/03/2011,3,7,23,29,3,35,100,77,35.16303219358712,2.728328038217896,1.2232103041469455,0.1744423422381738,430.7005263281096,1411.9739430276925,669.4144125628545,1.8326530612244898
1003672,CAR16,12.51884,-81.73215,Colombia,Wild Life,Seaflower,11.5,21/03/2011,8,9,40,19,7,17,100,60,35.68657824773989,2.828695278947762,3.588891125936468,0.25074717118240175,574.2673684374795,3158.990136749493,1050.9675610720346,2.2125
1003673,CAR16,12.51884,-81.73215,Colombia,Wild Life,Seaflower,12,21/03/2011,4,7,39,22,16,12,100,61,50.09634994064945,3.622601568091226,1.2708235959874292,0.2627150311272719,430.7005263281096,2137.7323675901584,719.0425293033719,2.229268292682927
1003676,CAR16,12.51884,-81.73215,Colombia,Wild Life,Seaflower,13,21/03/2011,6,3,40,20,16,15,100,60,47.394947229781444,3.0988421031994444,1.5537792406315942,0.22318509090694144,215.3502631640548,3135.818974202906,711.8477995884167,2.0844444444444443
1003677,CAR17,12.58681,-81.71718,Colombia,Montanita,Seaflower,13.4,21/03/2011,6,32,35,18,0,9,100,65,41.37787817504359,5.188255815693789,2.895392124020813,0.4274372560910552,1718.6737182820996,2241.4842317349912,1116.3014213841493,2.4555555555555557
1003678,CAR18,12.58415,-81.68365,Colombia,Little Reef,Seaflower,5.5,22/03/2011,35.71428571,10.20408163,7.142857143,0,30.6122449,16.326530613,99.999999996,92.857142853,30.263362855920764,2.2755011506651415,13.865409211989412,0.12680972854613337,0,12605.703859696594,2219.7597131425296,1.7148936170212767
1003679,CAR18,12.58415,-81.68365,Colombia,Little Reef,Seaflower,5.6,22/03/2011,27,20,4,3,35,11,100,96,11.321268027476577,1.7153036074394816,8.933186449584715,0.14491845894077662,71.78342105468494,10157.621924603183,1499.7575008814115,1.8
1003680,CAR18,12.58415,-81.68365,Colombia,Little Reef,Seaflower,8,22/03/2011,27,14,6,3,27,23,100,94,5.977082465903831,1.2703023787756629,11.45596992402828,0.0643274957960806,215.3502631640548,9206.651029754268,1879.9711981448838,1.7555555555555558
1003683,CAR20,12.58338,-81.68528,Colombia,Little Reef 3,Seaflower,3.5,24/03/2011,46,1,4,2,19,28,100,96,0.995289791468918,0.1923423980186731,15.474163893927905,0.013642175985193194,840.3176844444858,17295.841790298025,2339.6758134893093,1.5410714285714286
1003684,CAR19,12.58619,-81.6887,Colombia,Little Reef 2,Seaflower,3.8,24/03/2011,43.33333333,1.333333333,10,0.666666667,30,14.666666666000001,99.999999996,89.999999996,19.61998938087611,2.4263721196036108,15.727347084797271,0.196522108252243,0,15510.470542914176,2468.1507331992816,1.711111111111111
1003685,CAR19,12.58619,-81.6887,Colombia,Little Reef 2,Seaflower,3.9,24/03/2011,32.631578949,3.157894737,12.631578948,0,14.73684211,36.842105263,100.000000007,87.368421059,4.387762968016902,3.5308324581624384,11.129449464867507,0.45575561931867503,6162.046910862167,12926.094121989443,1831.2363158257751,1.8983050847457625
1003686,CAR20,12.58338,-81.68528,Colombia,Little Reef 3,Seaflower,3.9,24/03/2011,40,2,5,6,38,9,100,95,4.706928562832686,1.3050833331009961,14.344041621011389,0.12989136380820326,280.1058948148286,14658.567429327812,2142.292352423203,1.6394736842105264
1003687,CAR23,9.55787,-78.95204,Panama,Porvenir3,San Blas,2,27/03/2011,1,9,52,29,2,7,100,48,20.151583468682855,6.194347507718357,2.8178282476906977,1.0609868944315997,15583.532018205355,937.3141003231619,1027.9569664328046,2.963265306122449
1003688,CAR22,9.55877,-78.95136,Panama,Porvenir2,San Blas,2.8,27/03/2011,0,16.66666667,41.666666667,20.833333332,11.66666667,9.166666666000001,100.000000005,58.333333338,20.132052415643813,11.407573557485776,3.1327526209582417,4.297149272836603,28412.82644445003,1669.2281654891524,1063.6364598984494,3.8863636363636367
1003689,CAR21,9.55746,-78.95041,Panama,Porvenir1,San Blas,3.5,27/03/2011,4,0,46,18,20,12,100,54,11.915055876370573,4.155463398042614,1.9112514520319737,0.44222811074541835,7934.932640827316,2431.7345631331254,991.4004077795415,2.672727272727273
1003690,CAR22,9.55877,-78.95136,Panama,Porvenir2,San Blas,3.5,27/03/2011,0,9.565217391,37.391304347,16.521739127,8.695652174,27.826086955,99.999999994,62.608695647000005,15.848769132265675,7.883376684131881,1.3405508933000274,1.356874870594234,27910.075304807353,1228.5246609027681,529.2394187044139,3.2403846153846154
1003691,CAR21,9.55746,-78.95041,Panama,Porvenir1,San Blas,6,27/03/2011,0,3,32,14,23,28,100,68,5.2076958502238035,1.5559331718731126,0.7396584158524651,0.15842709797398377,4091.6550001170413,437.44928655662807,932.3692538425921,2.102222222222222
1003692,CAR25,9.58341,-78.87863,Panama,Chichime SE,San Blas,2,28/03/2011,6,3,21,26,21,23,100,79,4.213479501499211,2.167978159807616,1.878703193393272,0.2236930162744805,4146.9248730503705,2976.392415355771,723.6375369123448,2.04
1003693,CAR25,9.58341,-78.87863,Panama,Chichime SE,San Blas,2.5,28/03/2011,17,3,22,20,14,24,100,78,6.89944695285611,1.670871913740582,8.679736634303692,0.13924704268156646,2580.0747709383186,5378.895635168031,1745.1932444941892,2.083720930232558
1003694,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,6.4,28/03/2011,20,36,19,12,0,13,100,81,38.76295271015864,6.078622428402564,6.6374588778824695,0.7795850066837164,1934.239069179532,8282.172924266544,1478.9865867604206,2.15
1003695,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,6.5,28/03/2011,20,30,28,12,0,10,100,72,54.26471331595578,5.314684432120378,6.6775617770075755,0.3799624678864584,641.9224024618255,7756.455649899261,1492.6204544221737,2.235294117647059
1003696,CAR26,9.5847,-78.86837,Panama,Chichime NE,San Blas,6.5,28/03/2011,7.619047619,39.047619051,40.952380945,12.38095238,0,0,99.999999995,59.047619049999994,28.08784587478356,5.026936467111224,3.245047623128638,0.6302954159231822,5304.516804755469,3440.2988557542312,826.3379339353879,2.772
1003697,CAR26,9.5847,-78.86837,Panama,Chichime NE,San Blas,8,28/03/2011,22,4,20,28,7,19,100,80,6.7942770482543535,2.8647149343101423,10.711546723319142,0.37542672227945073,9998.161478106244,7358.836501073252,1674.8664538624168,2.4391304347826086
1003698,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,9.5,28/03/2011,25,0,20,6,3,46,100,80,26.045897017682343,2.7529514579069225,9.993379229627495,0.16098374815901215,280.1058948148286,9014.6490514950965,1914.4863160826535,1.8116666666666668
1003699,CAR24,9.58772,-78.88924,Panama,Chichime SW,San Blas,11.5,28/03/2011,10,7,24,13,14,32,100,76,15.372348783326647,2.0169050332957195,2.7213215086455964,0.20680802530729592,1604.8060061545639,4557.680798491164,797.7212327564154,1.9428571428571426
1003777,USEC5,24.626395,-81.11185,United States,Sombrero Light E FL,Florida Keys,7,13/10/2010,45,13,0,17,5,20,100,100,6.371354105002585,0.7143513794669738,13.549336833745608,0.09097324959696235,0,14964.721398522435,2328.94626426838,1.7510204081632654
1003778,USEC6,24.625624,-81.109328,United States,Sombrero Light FL,Florida Keys,5.5,14/10/2010,22,10,9,22,6,31,100,91,11.202738735759253,1.719195148001647,5.596235711194947,0.18404003113991943,0,8085.4092600656195,1212.3973803891963,1.778723404255319
1003780,USEC8,24.69262,-81.060967,United States,Vaca Key Bight FL,Florida Keys,2.5,16/10/2010,59,2,3,12,16,8,100,97,1.1623846524056556,0.810111119288927,18.795666242102154,0.09644967660215935,0,19119.739501997563,3007.6679790381454,1.5913043478260869
1003781,USEC9,24.70784,-81.04805,United States,Vaca Key Bight S FL,Florida Keys,6.8,16/10/2010,5,6,15,15,19,40,100,85,34.61870691144886,3.976203660784723,1.985123076457251,0.3870525991023361,0,2147.4937288826018,778.7861077623166,1.7534883720930232
1003782,USEC10,24.68577,-80.96287,United States,Coffins Patch E FL,Florida Keys,4,17/10/2010,23,8,2,39,6,22,100,98,7.431245676584006,0.678244113369342,6.039464274725744,0.07844214133474349,0,8402.718464759353,1157.3614499165726,1.6166666666666667
1003783,USEC11,24.68553,-80.9645,United States,Coffins Patch W FL,Florida Keys,4,17/10/2010,35,2,1,39,1,22,100,99,0.7017176198869455,0.7659606388175947,9.078057687203515,0.09296598768460916,0,12402.670725769738,1532.929411859246,1.3954545454545455
1003784,USEC13,24.54569,-81.40591,United States,Looe Reef West FL,Florida Keys,5,18/10/2010,6,12,11,27,2,42,100,89,12.946515055687252,2.7355966299646717,1.5042376065540655,0.2853605777353581,0,2850.291587826933,632.681568588854,1.675
1003785,USEC14,24.546777,-81.405235,United States,Looe Reef Marker Post FL,Florida Keys,5,18/10/2010,4,4,10,20,6,56,100,90,57.69107676263025,3.381132948514919,2.6132936681017145,0.24947135476164514,0,1268.9405848598767,987.1322581804599,1.7866666666666666
1003786,USEC15,24.68217,-80.97067,United States,Pillar Patch FL,Florida Keys,4.5,19/10/2010,23,14,7,31,2,23,100,93,5.73850701871663,1.9405497768273503,5.354552214380018,0.46935513219690694,996.7111207049113,8885.840862922392,1061.1828049406736,1.6045454545454547
1003787,USEC16,24.68975,-81.02973,United States,Vaca Key Bight East FL,Florida Keys,4,19/10/2010,12,16,3,38,8,23,100,97,8.656529381922834,6.872066911320703,6.7353646770603195,3.1884654447618868,0,4749.60412326333,1628.4923860135154,1.5297297297297296
1003793,USEC17,24.63217,-81.09053,United States,Delta Shoal Marathon FL,Florida Keys,4,21/12/2010,25,5,0,29,16,25,100,100,1.398589925488372,0.1630549182900796,9.066706442602673,0.02000474594334104,0,7769.073435356785,1554.8643893583694,1.611764705882353
2000859,CG10,-31.68152,152.91196,Australia,Steves Bommie (668),Cod Grounds,30,17/05/2009,2.0242915,43.92712551,0,39.67611336,0.20242915,14.17004049,100.00000001000001,100.00000001000001,16.938477986470286,1.6652979454671561,0.4798123921476485,0.16808731117208026,0,717.36381969957,464.65964783833306,2.0682926829268293
2000860,CG10,-31.68152,152.91196,Australia,Steves Bommie (668),Cod Grounds,31,17/05/2009,0.74766355,43.17757009,0,28.03738319,0.74766355,27.28971963,100.00000001000001,100.00000001000001,15.850685822201552,1.5446550070287626,0.4141540365787158,0.1572927132069008,0,441.20009585173085,505.45988922226314,2.0444444444444443
2000861,CG10,-31.68152,152.91196,Australia,Steves Bommie (668),Cod Grounds,36.5,17/05/2009,3.24909747,29.06137184,0.18050542,24.36823106,25.99277978,17.14801444,100.00000001,99.81949458999999,12.276511568175712,1.0369083535172494,0.5029323803308167,0.12182474846416826,0,1029.2668669452742,400.1089659932641,1.975
2000883,CG11,-31.68406,152.90851,Australia,SE lumps (66A),Cod Grounds,29,17/05/2009,0.38610039,63.70656371,0,10.23166023,4.63320463,21.04247105,100.00000001,100.00000001,22.843635449643415,2.44326522887711,0.42360707452539753,0.2266865572687688,0,124.38556929167527,610.7256118578558,2.2145454545454544
2000884,CG11,-31.68406,152.90851,Australia,SE lumps (66A),Cod Grounds,33,17/05/2009,3.78378378,43.063063060000005,0.18018018,19.099099080000002,20.18018018,13.69369369,99.99999997,99.81981979000001,16.16148358342119,1.6250836326543583,0.6505056158516176,0.16037688405409492,0,1347.0370556134806,495.0255272444131,2.078048780487805
2000892,SI11,-30.20774,153.26654,Australia,Cable Trail,Solitary Islands,11,21/08/2009,36,2,7,11,1,43,100,93,1.4508011634908475,0.15978950104577416,9.200674199112772,0.009447787042386418,215.3502631640548,8440.530375596158,2269.3840380533497,1.6315789473684208
2000937,SI13,-29.933083,153.392562,Australia,South End Nth Solitary,Solitary Islands,9,22/08/2009,4,6,0,9,2,79,100,100,0.3107977612196383,0.08448449795899984,0.7047491778164694,0.003239700089591694,0,1599.282712664469,708.7794913946627,1.5392857142857141
2000938,SI13,-29.933083,153.392562,Australia,South End Nth Solitary,Solitary Islands,15,22/08/2009,0,18,15,14,1,51,99,84,12.85752606379564,1.064993936221709,0.3548778017145124,0.07336061642412568,71.78342105468494,204.03451182075995,546.6590219914377,1.7578947368421052
2000947,SI14,-29.91274,153.38342,Australia,Fish Soup,Solitary Islands,7,22/08/2009,8,17,13,51,0,11,100,87,4.934544492199123,0.5773338405722822,2.2112062303566122,0.03449379342067701,287.13368421873975,1824.804948408827,639.8834875080299,1.7666666666666668
2000948,SI14,-29.91274,153.38342,Australia,Fish Soup,Solitary Islands,8,22/08/2009,0,17,6,37,29,11,100,94,8.35635767472748,1.1392866459003805,0.23602905699255972,0.10577030761532885,747.5333405286835,64.44854632699239,229.30933798453538,2.08
2000949,SI14,-29.91274,153.38342,Australia,Fish Soup,Solitary Islands,10.1,22/08/2009,0,28,12,32,16,12,100,88,15.795952346400979,1.8236298197024248,0.45302342518194577,0.20403684748795098,1638.6335231667367,94.57162896673425,441.9020796957966,2.503030303030303
2000962,SI15,-30.20102,153.25802,Australia,Black Rock,Solitary Islands,11,23/08/2009,0,53,8,17,1,21,100,92,22.257475620377033,2.77243635357533,0.6037271226971465,0.29085673532568657,2212.900891604216,161.62993244786946,694.6456232156577,2.287272727272727
2001109,CG2,-31.68128,152.91078,Australia,Cod Gardens (CODGAR),Cod Grounds,28,14/05/2009,0.37174722,79.18215613999999,0,14.869888490000001,0.92936803,4.64684015,100.00000003,100.00000003,28.59339403220672,3.015969402681448,0.46942412945188544,0.2837031099563553,0,83.8659065941358,641.2618924507486,2.545098039215686
2001110,CG2,-31.68128,152.91078,Australia,Cod Gardens (CODGAR),Cod Grounds,36,14/05/2009,6.00184672,53.37026777,0,13.20406279,11.81902124,15.60480148,100,100,18.803264553788118,1.8987923312334136,1.2409306608983188,0.18656563209086408,0,1555.045710385854,691.3036875048396,2.1608695652173915
2001166,CG3,-31.68309,152.90585,Australia,SW flats (66B),Cod Grounds,26,14/05/2009,0,87.80487805,0,7.69230769,2.81425891,1.68855535,100,100,30.76897836074419,3.4105363477464086,0.49948672960155666,0.30528921614868665,0,81.67090470998296,678.5840131753954,2.55
