"","Year","Site","Replicate","taxon","cover","dataset"
"184",2005,"Taotaha",1,"Massive",4,"Moorea"
"185",2005,"Taotaha",1,"Rock and Rubble",66,"Moorea"
"186",2005,"Taotaha",1,"Tabular",12,"Moorea"
"187",2005,"Taotaha",2,"Corymbose",12,"Moorea"
"188",2005,"Taotaha",2,"Encrusting",12,"Moorea"
"189",2005,"Taotaha",2,"Laminar",2,"Moorea"
"190",2005,"Taotaha",2,"Massive",4,"Moorea"
"191",2005,"Taotaha",2,"Rock and Rubble",58,"Moorea"
"192",2005,"Taotaha",2,"Tabular",12,"Moorea"
"193",2005,"Taotaha",3,"Branching",2,"Moorea"
"194",2005,"Taotaha",3,"Corymbose",18,"Moorea"
"195",2005,"Taotaha",3,"Encrusting",2,"Moorea"
"196",2005,"Taotaha",3,"Halimeda",4,"Moorea"
"197",2005,"Taotaha",3,"Massive",2,"Moorea"
"198",2005,"Taotaha",3,"Rock and Rubble",56,"Moorea"
"199",2005,"Taotaha",3,"Sand",2,"Moorea"
"200",2005,"Taotaha",3,"Tabular",14,"Moorea"
"201",2005,"Temae",1,"Corymbose",20.41,"Moorea"
"202",2005,"Temae",1,"Encrusting",2.04,"Moorea"
"203",2005,"Temae",1,"Halimeda",4.08,"Moorea"
"204",2005,"Temae",1,"Laminar",4.08,"Moorea"
"205",2005,"Temae",1,"Massive",6.12,"Moorea"
"206",2005,"Temae",1,"Rock and Rubble",40.82,"Moorea"
"207",2005,"Temae",1,"Tabular",22.45,"Moorea"
"208",2005,"Temae",2,"Corymbose",28,"Moorea"
"209",2005,"Temae",2,"Encrusting",8,"Moorea"
"210",2005,"Temae",2,"Halimeda",2,"Moorea"
"211",2005,"Temae",2,"Laminar",2,"Moorea"
"212",2005,"Temae",2,"Rock and Rubble",46,"Moorea"
"213",2005,"Temae",2,"Tabular",6,"Moorea"
"214",2005,"Temae",2,"understory macroalgae",8,"Moorea"
"215",2005,"Temae",3,"Corymbose",12,"Moorea"
"216",2005,"Temae",3,"Encrusting",4,"Moorea"
"217",2005,"Temae",3,"Rock and Rubble",68,"Moorea"
"218",2005,"Temae",3,"Tabular",16,"Moorea"
"219",2005,"Tetaiuo",1,"Corymbose",26,"Moorea"
"220",2005,"Tetaiuo",1,"Encrusting",2,"Moorea"
"221",2005,"Tetaiuo",1,"Laminar",2,"Moorea"
"222",2005,"Tetaiuo",1,"Massive",10,"Moorea"
"223",2005,"Tetaiuo",1,"Rock and Rubble",56,"Moorea"
"224",2005,"Tetaiuo",1,"Tabular",4,"Moorea"
"225",2005,"Tetaiuo",2,"Corymbose",24,"Moorea"
"226",2005,"Tetaiuo",2,"Encrusting",6,"Moorea"
"227",2005,"Tetaiuo",2,"Massive",2,"Moorea"
"228",2005,"Tetaiuo",2,"Rock and Rubble",68,"Moorea"
"229",2005,"Tetaiuo",3,"Corymbose",16,"Moorea"
"230",2005,"Tetaiuo",3,"Encrusting",8,"Moorea"
"231",2005,"Tetaiuo",3,"Laminar",4,"Moorea"
"232",2005,"Tetaiuo",3,"Massive",14,"Moorea"
"233",2005,"Tetaiuo",3,"Rock and Rubble",54,"Moorea"
"234",2005,"Tetaiuo",3,"Tabular",2,"Moorea"
"235",2005,"Tetaiuo",3,"understory macroalgae",2,"Moorea"
"236",2005,"Tiahura",1,"Branching",2.04,"Moorea"
"237",2005,"Tiahura",1,"Corymbose",12.24,"Moorea"
"238",2005,"Tiahura",1,"Encrusting",2.04,"Moorea"
"239",2005,"Tiahura",1,"Massive",18.37,"Moorea"
"240",2005,"Tiahura",1,"Rock and Rubble",48.98,"Moorea"
"241",2005,"Tiahura",1,"Tabular",16.33,"Moorea"
"242",2005,"Tiahura",2,"Branching",2,"Moorea"
"243",2005,"Tiahura",2,"Corymbose",22,"Moorea"
"244",2005,"Tiahura",2,"Encrusting",2,"Moorea"
"245",2005,"Tiahura",2,"Laminar",2,"Moorea"
"246",2005,"Tiahura",2,"Massive",14,"Moorea"
"247",2005,"Tiahura",2,"Rock and Rubble",52,"Moorea"
"248",2005,"Tiahura",2,"Sand",2,"Moorea"
"249",2005,"Tiahura",2,"Tabular",4,"Moorea"
"250",2005,"Tiahura",3,"Branching",2,"Moorea"
"251",2005,"Tiahura",3,"Corymbose",6,"Moorea"
"252",2005,"Tiahura",3,"Encrusting",10,"Moorea"
"253",2005,"Tiahura",3,"Massive",4,"Moorea"
"254",2005,"Tiahura",3,"Rock and Rubble",66,"Moorea"
"255",2005,"Tiahura",3,"Tabular",12,"Moorea"
"256",2006,"Afareaitu",1,"Corymbose",20,"Moorea"
"257",2006,"Afareaitu",1,"Encrusting",2,"Moorea"
"258",2006,"Afareaitu",1,"Massive",2,"Moorea"
"259",2006,"Afareaitu",1,"Rock and Rubble",62,"Moorea"
"260",2006,"Afareaitu",1,"Tabular",14,"Moorea"
"261",2006,"Afareaitu",2,"Corymbose",20,"Moorea"
"262",2006,"Afareaitu",2,"Encrusting",4,"Moorea"
"263",2006,"Afareaitu",2,"Laminar",2,"Moorea"
"264",2006,"Afareaitu",2,"Massive",4,"Moorea"
"265",2006,"Afareaitu",2,"Rock and Rubble",54,"Moorea"
"266",2006,"Afareaitu",2,"Sand",2,"Moorea"
"267",2006,"Afareaitu",2,"Tabular",14,"Moorea"
"268",2006,"Afareaitu",3,"Corymbose",20,"Moorea"
"269",2006,"Afareaitu",3,"Encrusting",2,"Moorea"
"270",2006,"Afareaitu",3,"Halimeda",2,"Moorea"
"271",2006,"Afareaitu",3,"Massive",4,"Moorea"
"272",2006,"Afareaitu",3,"Rock and Rubble",70,"Moorea"
"273",2006,"Afareaitu",3,"Tabular",2,"Moorea"
"274",2006,"Aroa",1,"Corymbose",12,"Moorea"
"275",2006,"Aroa",1,"Encrusting",2,"Moorea"
"276",2006,"Aroa",1,"Massive",12,"Moorea"
"277",2006,"Aroa",1,"Rock and Rubble",58,"Moorea"
"278",2006,"Aroa",1,"Sand",8,"Moorea"
"279",2006,"Aroa",1,"Tabular",4,"Moorea"
"280",2006,"Aroa",1,"understory macroalgae",4,"Moorea"
"281",2006,"Aroa",2,"Corymbose",26,"Moorea"
"282",2006,"Aroa",2,"Massive",8,"Moorea"
"283",2006,"Aroa",2,"Rock and Rubble",62,"Moorea"
"284",2006,"Aroa",2,"Tabular",4,"Moorea"
"285",2006,"Aroa",3,"Branching",2,"Moorea"
"286",2006,"Aroa",3,"Corymbose",14,"Moorea"
"287",2006,"Aroa",3,"Encrusting",4,"Moorea"
"288",2006,"Aroa",3,"Massive",8,"Moorea"
"289",2006,"Aroa",3,"Rock and Rubble",60,"Moorea"
"290",2006,"Aroa",3,"Tabular",10,"Moorea"
"291",2006,"Aroa",3,"others",2,"Moorea"
"292",2006,"Entre 2 baies",1,"Corymbose",14,"Moorea"
"293",2006,"Entre 2 baies",1,"Encrusting",12,"Moorea"
"294",2006,"Entre 2 baies",1,"Halimeda",4,"Moorea"
"295",2006,"Entre 2 baies",1,"Rock and Rubble",38,"Moorea"
"296",2006,"Entre 2 baies",1,"Tabular",26,"Moorea"
"297",2006,"Entre 2 baies",1,"understory macroalgae",6,"Moorea"
"298",2006,"Entre 2 baies",2,"Branching",2.04,"Moorea"
"299",2006,"Entre 2 baies",2,"Corymbose",16.33,"Moorea"
"300",2006,"Entre 2 baies",2,"Encrusting",12.24,"Moorea"
"301",2006,"Entre 2 baies",2,"Massive",8.16,"Moorea"
"302",2006,"Entre 2 baies",2,"Rock and Rubble",42.85,"Moorea"
"303",2006,"Entre 2 baies",2,"Sand",2.04,"Moorea"
"304",2006,"Entre 2 baies",2,"Tabular",10.2,"Moorea"
"305",2006,"Entre 2 baies",2,"understory macroalgae",6.12,"Moorea"
"306",2006,"Entre 2 baies",3,"Branching",2,"Moorea"
"307",2006,"Entre 2 baies",3,"Corymbose",16,"Moorea"
"308",2006,"Entre 2 baies",3,"Encrusting",16,"Moorea"
"309",2006,"Entre 2 baies",3,"Massive",8,"Moorea"
"310",2006,"Entre 2 baies",3,"Rock and Rubble",30,"Moorea"
"311",2006,"Entre 2 baies",3,"Sand",2,"Moorea"
"312",2006,"Entre 2 baies",3,"Tabular",20,"Moorea"
"313",2006,"Entre 2 baies",3,"understory macroalgae",6,"Moorea"
"314",2006,"Gendron",1,"Corymbose",26.53,"Moorea"
"315",2006,"Gendron",1,"Encrusting",8.16,"Moorea"
"316",2006,"Gendron",1,"Laminar",2.04,"Moorea"
"317",2006,"Gendron",1,"Massive",6.12,"Moorea"
"318",2006,"Gendron",1,"Rock and Rubble",42.85,"Moorea"
"319",2006,"Gendron",1,"Sand",4.08,"Moorea"
"320",2006,"Gendron",1,"Tabular",8.16,"Moorea"
"321",2006,"Gendron",1,"understory macroalgae",2.04,"Moorea"
"322",2006,"Gendron",2,"Corymbose",36,"Moorea"
"323",2006,"Gendron",2,"Encrusting",2,"Moorea"
"324",2006,"Gendron",2,"Laminar",2,"Moorea"
"325",2006,"Gendron",2,"Massive",4,"Moorea"
"326",2006,"Gendron",2,"Rock and Rubble",46,"Moorea"
"327",2006,"Gendron",2,"Sand",4,"Moorea"
"328",2006,"Gendron",2,"Tabular",4,"Moorea"
"329",2006,"Gendron",2,"understory macroalgae",2,"Moorea"
"330",2006,"Gendron",3,"Branching",2,"Moorea"
"331",2006,"Gendron",3,"Corymbose",22,"Moorea"
"332",2006,"Gendron",3,"Encrusting",4,"Moorea"
"333",2006,"Gendron",3,"Laminar",2,"Moorea"
"334",2006,"Gendron",3,"Rock and Rubble",56,"Moorea"
"335",2006,"Gendron",3,"Sand",2,"Moorea"
"336",2006,"Gendron",3,"Tabular",4,"Moorea"
"337",2006,"Gendron",3,"understory macroalgae",8,"Moorea"
"338",2006,"Haapiti",1,"Branching",2,"Moorea"
"339",2006,"Haapiti",1,"Corymbose",8,"Moorea"
"340",2006,"Haapiti",1,"Encrusting",6,"Moorea"
"341",2006,"Haapiti",1,"Massive",6,"Moorea"
"342",2006,"Haapiti",1,"Rock and Rubble",70,"Moorea"
"343",2006,"Haapiti",1,"Tabular",8,"Moorea"
"344",2006,"Haapiti",2,"Corymbose",8,"Moorea"
"345",2006,"Haapiti",2,"Encrusting",2,"Moorea"
"346",2006,"Haapiti",2,"Massive",6,"Moorea"
"347",2006,"Haapiti",2,"Rock and Rubble",72,"Moorea"
"348",2006,"Haapiti",2,"Sand",4,"Moorea"
"349",2006,"Haapiti",2,"Tabular",6,"Moorea"
"350",2006,"Haapiti",3,"Branching",2,"Moorea"
"351",2006,"Haapiti",3,"Corymbose",12,"Moorea"
"352",2006,"Haapiti",3,"Encrusting",8,"Moorea"
"353",2006,"Haapiti",3,"Laminar",2,"Moorea"
"354",2006,"Haapiti",3,"Massive",6,"Moorea"
"355",2006,"Haapiti",3,"Rock and Rubble",70,"Moorea"
"356",2006,"Maatea",1,"Corymbose",28,"Moorea"
"357",2006,"Maatea",1,"Encrusting",4,"Moorea"
"358",2006,"Maatea",1,"Halimeda",6,"Moorea"
"359",2006,"Maatea",1,"Massive",4,"Moorea"
"360",2006,"Maatea",1,"Rock and Rubble",54,"Moorea"
"361",2006,"Maatea",1,"Tabular",4,"Moorea"
"362",2006,"Maatea",2,"Branching",2,"Moorea"
"363",2006,"Maatea",2,"Corymbose",28,"Moorea"
"364",2006,"Maatea",2,"Encrusting",2,"Moorea"
"365",2006,"Maatea",2,"Halimeda",2,"Moorea"
"366",2006,"Maatea",2,"Massive",4,"Moorea"
"367",2006,"Maatea",2,"Rock and Rubble",58,"Moorea"
"368",2006,"Maatea",2,"understory macroalgae",4,"Moorea"
"369",2006,"Maatea",3,"Branching",2,"Moorea"
"370",2006,"Maatea",3,"Corymbose",20,"Moorea"
"371",2006,"Maatea",3,"Halimeda",14,"Moorea"
"372",2006,"Maatea",3,"Massive",4,"Moorea"
"373",2006,"Maatea",3,"Rock and Rubble",50,"Moorea"
"374",2006,"Maatea",3,"Sand",6,"Moorea"
"375",2006,"Maatea",3,"others",2,"Moorea"
"376",2006,"Maatea",3,"understory macroalgae",2,"Moorea"
"377",2006,"Motu Ahi",1,"Corymbose",28,"Moorea"
"378",2006,"Motu Ahi",1,"Encrusting",4,"Moorea"
"379",2006,"Motu Ahi",1,"Halimeda",2,"Moorea"
"380",2006,"Motu Ahi",1,"Laminar",2,"Moorea"
"381",2006,"Motu Ahi",1,"Massive",4,"Moorea"
"382",2006,"Motu Ahi",1,"Rock and Rubble",54,"Moorea"
"383",2006,"Motu Ahi",1,"Tabular",6,"Moorea"
"384",2006,"Motu Ahi",2,"Corymbose",36,"Moorea"
"385",2006,"Motu Ahi",2,"Rock and Rubble",50,"Moorea"
"386",2006,"Motu Ahi",2,"Tabular",14,"Moorea"
"387",2006,"Motu Ahi",3,"Corymbose",40,"Moorea"
"388",2006,"Motu Ahi",3,"Halimeda",2,"Moorea"
"389",2006,"Motu Ahi",3,"Massive",2,"Moorea"
"390",2006,"Motu Ahi",3,"Rock and Rubble",40,"Moorea"
"391",2006,"Motu Ahi",3,"Sand",4,"Moorea"
"392",2006,"Motu Ahi",3,"Tabular",12,"Moorea"
"393",2006,"Nuarei",1,"Corymbose",26,"Moorea"
"394",2006,"Nuarei",1,"Encrusting",4,"Moorea"
"395",2006,"Nuarei",1,"Massive",4,"Moorea"
"396",2006,"Nuarei",1,"Rock and Rubble",46,"Moorea"
"397",2006,"Nuarei",1,"Sand",2,"Moorea"
"398",2006,"Nuarei",1,"Tabular",18,"Moorea"
"399",2006,"Nuarei",2,"Corymbose",24,"Moorea"
"400",2006,"Nuarei",2,"Encrusting",2,"Moorea"
"401",2006,"Nuarei",2,"Halimeda",2,"Moorea"
"402",2006,"Nuarei",2,"Laminar",2,"Moorea"
"403",2006,"Nuarei",2,"Massive",12,"Moorea"
"404",2006,"Nuarei",2,"Rock and Rubble",48,"Moorea"
"405",2006,"Nuarei",2,"Sand",2,"Moorea"
"406",2006,"Nuarei",2,"Tabular",8,"Moorea"
"407",2006,"Nuarei",3,"Corymbose",16,"Moorea"
"408",2006,"Nuarei",3,"Halimeda",2,"Moorea"
"409",2006,"Nuarei",3,"Laminar",2,"Moorea"
"410",2006,"Nuarei",3,"Massive",4,"Moorea"
"411",2006,"Nuarei",3,"Rock and Rubble",40,"Moorea"
"412",2006,"Nuarei",3,"Sand",2,"Moorea"
"413",2006,"Nuarei",3,"Tabular",34,"Moorea"
"414",2006,"Pihaena",1,"Branching",2,"Moorea"
"415",2006,"Pihaena",1,"Corymbose",18,"Moorea"
"416",2006,"Pihaena",1,"Encrusting",2,"Moorea"
"417",2006,"Pihaena",1,"Laminar",2,"Moorea"
"418",2006,"Pihaena",1,"Massive",4,"Moorea"
"419",2006,"Pihaena",1,"Rock and Rubble",46,"Moorea"
"420",2006,"Pihaena",1,"Tabular",26,"Moorea"
"421",2006,"Pihaena",2,"Corymbose",16,"Moorea"
"422",2006,"Pihaena",2,"Encrusting",4,"Moorea"
"423",2006,"Pihaena",2,"Massive",2,"Moorea"
"424",2006,"Pihaena",2,"Rock and Rubble",62,"Moorea"
"425",2006,"Pihaena",2,"Sand",2,"Moorea"
"426",2006,"Pihaena",2,"Tabular",14,"Moorea"
"427",2006,"Pihaena",3,"Corymbose",6,"Moorea"
"428",2006,"Pihaena",3,"Encrusting",4,"Moorea"
"429",2006,"Pihaena",3,"Laminar",2,"Moorea"
"430",2006,"Pihaena",3,"Massive",4,"Moorea"
"431",2006,"Pihaena",3,"Rock and Rubble",54,"Moorea"
"432",2006,"Pihaena",3,"Tabular",30,"Moorea"
"433",2006,"Taotaha",1,"Corymbose",16,"Moorea"
"434",2006,"Taotaha",1,"Encrusting",2,"Moorea"
"435",2006,"Taotaha",1,"Halimeda",4,"Moorea"
"436",2006,"Taotaha",1,"Rock and Rubble",64,"Moorea"
"437",2006,"Taotaha",1,"Tabular",14,"Moorea"
"438",2006,"Taotaha",2,"Encrusting",8,"Moorea"
"439",2006,"Taotaha",2,"Laminar",18,"Moorea"
"440",2006,"Taotaha",2,"Rock and Rubble",68,"Moorea"
"441",2006,"Taotaha",2,"Tabular",6,"Moorea"
"442",2006,"Taotaha",3,"Corymbose",8.16,"Moorea"
"443",2006,"Taotaha",3,"Encrusting",8.16,"Moorea"
"444",2006,"Taotaha",3,"Laminar",2.04,"Moorea"
"445",2006,"Taotaha",3,"Massive",4.08,"Moorea"
